腹腔镜基础知识
1.	关于现代电视胸腔镜手术的优势，下列说法不正确的是：C
A.	创伤小、恢复快、术后疼痛轻
B.	可进行诊断性胸腔镜手术
C.	可完全替代常规开胸手术
D.	可进行治疗性胸腔镜手术
E.	对美容影响小
2.	有关小儿腹腔镜手术，下列哪一项是不正确的：C
A.	胆囊结石多为小结石，易被挤入胆总管
B.	小儿胆石症常伴有肛门部解剖变异，术中胆道造影是必要的
C.	术中出血时，用激光止血
D.	右肋缘下可触及肝脏，穿刺时易损伤
E.	建立气腹，其压力低于成人
3.	既能满足手术的需要，并发症也较少，腹腔镜胆囊切除术的腹内气压应C
A.	5~8mmHg
B.	6~10mmHg
C.	12~15 mmHg
D.	15~20 mmHg
E.	20~25 mmHg
4.	灭菌后内镜合格标准为：E
A.	细菌总数<20cfu/件
B.	细菌总数<10cfu/件
C.	细菌总数<100cfu/件
D.	细菌总数<1000cfu/件
E.	无菌检测合格
5.	腹腔镜中转开腹哪一项是错误的C
A.	选择性中转开腹不增加手术危险性和并发症
B.	中转开腹只是手术治疗手段由首选向次选的转变，并非手术治疗失败
C.	腹腔镜手术和中转手术率与术者技术有关，与术者选择手术适应证无关
D.	被动性中转开腹增加手术危险性和并发症
E.	腹腔镜中转开腹不完全表示手术医师技术不佳
6.	腹腔镜手术与传统的开腹手术所改变的主要是A
A.	手术方式
B.	手术原则
C.	手术目的
D.	手术时间
E.	手术种类
7.	腹部肿瘤腹腔镜分期的突出优点为E
A.	诊断、治疗一体化
B.	创伤小、痛苦轻
C.	可避免不必要的开腹
D.	可直观直接地获取诊断依据
E.	以上均正确
8.	下述哪些胃十二指肠手术可使用腹腔镜完成E
A.	胃十二指肠溃疡穿孔修补术
B.	高选择性迷走神经切断术
C.	胃空肠吻合术
D.	胃癌根治术
E.	以上均可
9.	相较开腹部手术，腹腔镜手术的优点有哪些：E
A.	腹腔镜手术具有腹壁疤痕小
B.	身体组织损伤小
C.	出血少
D.	病人恢复快等优点
E.	以上都是
10.	腹腔镜手术相比开腹手术的缺点有哪些：B
A.	手术风险大
B.	价格略贵，必须全身麻醉
C.	创伤大
D.	插导尿管时间过长
E.	恢复慢
11.	腹腔镜最常用的麻醉方式：B
A.	局部麻醉
B.	全身麻醉
C.	硬膜外麻醉
D.	椎管内麻醉
E.	以上都可以
12.	内镜技术用于腹腔脏器探查并称为“腹腔镜检查”始于哪一年：B
A.	1901年?
B.	1910年?
C.	1924年
D.	1925年?
E.	1911年
13.	以下哪项不符合腹腔镜手术洗手护士站在病人的右侧要求：D
A.	胃
B.	直肠
C.	右半结肠15
D.	膀胱
14.	下列腹腔镜在腹部外科的临床应用范围，不包括：E
A.	腹腔镜探查诊断术
B.	腹腔镜胆囊切除、胆总管切开探查术
C.	腹腔镜胃肠、阑尾、结直肠手术
D.	腹腔镜肝、胰、脾手术
E.	腹腔镜下腹主动脉瘤切除手术
15.	以下对腹腔镜外科的论述，不正确的是：C
A.	是利用腹腔镜和电视摄影机，将腹腔内情况显示在电视屏幕上，以专用的手术器械通过穿刺套管进行诊断和治疗的一门技术
B.	需在腹腔内注入二氧化碳，形成人工气腹为观察和操作提供空间
C.	腹腔镜已完全可取代传统外科手术
D.	以开放手术为基础，以开放手术为后盾，与传统腹部外科相辅相成
E.	利用特制拉钩插入腹腔或钢丝穿入皮下，借助机械力把腹壁提起，称免气腹法
16.	不适合选择腹腔镜手术的是：A
A.	卵巢巨大囊肿
B.	异位妊娠
C.	卵巢巧克力囊肿
D.	输卵管造口
E.	多囊卵巢打孔
17.	腹腔镜灭菌首选：C
A.	脉动真空压力蒸汽灭菌器
B.	等离子灭菌器
C.	环氧乙炔灭菌器
D.	干热灭菌器
E.	快速压力蒸汽灭菌
18.	以下对腹腔镜手术气腹的影响的描述，错误的是：C
A.	气腹可使心排血量下降
B.	气腹可使呼吸道阻力增加
C.	气腹可使机械通气量下降
D.	气腹使胸肺顺应性减小
E.	气腹可使PaCO2上升
（解析：气腹压力超过10mmHg者可影响循环功能，表现为心排血量下降、高血压、体循环和肺循环血管张力升高，其影响程度与压力高低有关。胸肺顺应性可减小30%~50%，动脉血二氧化碳分压上升）
19.	腹腔镜手术优点：D
A.	创伤小
B.	瘢痕小
C.	恢复快
D.	以上都是
20.	腹腔镜+活检：D
